"REGION","employee_type","Industry_type","monthlyORhourly","skill_type","gender","Age","yrs_of_Exp","tax_grade","no_of_child","job","rank","education","employment_type","salary_type","weekly_work_hour","yearly_income","paid_holiday_days","number_of_employee","male_percent","female_percent"
2,1,1,1,1,1,60,2,4,0,3,8,2,1,1,7,3150,NA,1,33.4,66.6
2,1,5,2,2,1,40,16,4,2,3,2,2,1,1,39,26131,27,4,91.2,8.8
2,1,9,2,2,2,23,4,NA,0,9,2,2,1,NA,40,8434,23,56,64.3,35.7
1,1,6,1,2,1,41,3,NA,0,4,2,2,1,NA,39,22190,26,3,54.3,45.7
1,1,7,1,2,2,46,7,NA,0,11,2,2,1,NA,38.5,27515,30,4,41.6,58.4
1,1,2,2,2,1,39,8,3,1,3,2,2,1,1,35,31058,30,4,87.6,12.4
1,1,4,1,2,1,27,4,3,1,5,2,2,1,1,40,1,23,2,75,25
1,2,7,NA,8,1,22,2,NA,0,10,4,2,1,NA,39,22219,29,2,75.7,24.3
1,1,2,1,3,1,34,1,NA,0,2,8,7,1,1,10,1963,30,2,41.2,58.8
2,1,5,2,2,1,30,9,3,2,3,2,2,1,5,40,16125,20,2,78.3,21.7
1,1,2,1,2,1,40,16,3,0,2,2,2,1,3,35,32431,30,4,89.2,10.8
2,2,2,NA,8,1,43,2,1,0,6,4,2,1,NA,40,12234,30,4,63.7,36.3
1,2,5,NA,8,1,50,12,3,2,4,4,2,1,NA,37,24244,30,3,38.8,61.2
1,1,4,1,3,1,60,38,1,0,5,2,2,1,1,39,19293,30,2,91.3,8.7
2,1,2,1,1,1,44,26,3,0,2,2,2,1,1,38,26614,30,56,89.7,10.3
1,1,2,2,1,1,36,16,2,0.5,2,9,2,1,1,22,13926,30,1,30,70
1,2,9,NA,6,1,41,7,NA,0,3,4,2,1,NA,38.5,38201,30,4,56.5,43.5
2,1,2,1,1,1,29,10,3,2,2,2,2,1,1,40,29549,30,4,69,31
1,2,9,NA,6,1,43,10,NA,0,7,4,6,1,NA,38,67253,30,4,71,29
1,1,4,1,NA,1,20,4,1,0,3,0,1,4,1,38.5,6755,30,4,86.3,13.7
1,1,7,1,1,1,46,14,NA,0,11,2,2,1,NA,38.5,32491,30,5,49.2,50.8
1,1,2,2,3,2,49,15,1,0,2,1,1,1,3,40,23813,30,5,52.1,47.9
1,1,7,1,NA,1,23,3,NA,0,4,0,1,4,NA,38,8297,25,5,38.7,61.3
1,1,2,1,NA,1,18,3,1,0,3,0,1,4,1,37,9371,30,4,83.9,16.1
2,1,5,1,1,1,60,5,3,0,4,2,2,1,1,38,27302,30,4,16.3,83.7
2,1,4,1,1,1,45,15,1,0,3,2,2,1,5,40,29095,30,1,90.9,9.1
1,1,6,1,3,1,40,3,NA,0,19,1,7,1,NA,39,22473,30,3,28.6,71.4
1,1,5,2,1,1,34,12,3,1,3,2,2,1,1,37.5,26713,30,3,76.8,23.2
2,1,9,2,3,1,25,1,NA,0,20,9,1,1,NA,35,1,26,3,52.1,47.9
1,2,9,NA,8,2,50,6,NA,0,2,9,2,1,NA,27,24506,30,3,50,50
1,1,3,1,0,1,42,17,3,3,2,2,2,1,1,37.5,51585,33,6,84.8,15.2
1,2,9,NA,6,2,38,4,NA,0,13,4,6,1,NA,40,75145,30,4,75.2,24.8
1,1,2,1,2,1,49,4,3,1,6,1,2,1,1,39,31687,32,4,67.1,32.9
1,2,1,NA,8,2,46,3,1,0,8,4,2,1,NA,39,47818,28,5,48.1,51.9
2,2,5,NA,8,2,48,26,4,0,9,4,2,1,NA,40,22226,30,3,48.1,51.9
2,1,2,2,1,1,57,7,4,0,5,2,2,1,1,40,15854,30,3,73.8,26.2
1,1,1,2,3,1,31,2,3,3,4,1,1,2,1,37,18868,27,4,56.8,43.2
1,2,9,NA,7,2,51,37,NA,0,14,9,2,1,NA,32,23298,30,5,17.2,82.8
1,1,2,2,2,1,42,2,3,1,2,1,2,1,1,40,24896,30,4,78.9,21.1
1,2,9,NA,NA,2,19,1,NA,0,14,0,1,4,NA,40,1,7,2,5.9,94.1
2,1,2,2,2,2,44,1,4,0,3,1,7,1,1,40,1,20,1,25,75
1,2,2,NA,5,1,36,1,1,0,7,4,5,1,NA,40,56244,30,1,61.5,38.5
1,1,7,1,0,1,56,28,NA,0,3,2,2,1,NA,38.5,34402,30,6,88.7,11.3
1,2,9,NA,5,1,25,7,NA,0,12,4,2,1,NA,38,62272,30,5,25.5,74.5
2,1,2,2,1,1,24,2,NA,0,3,2,2,1,NA,40,25767,30,2,75,25
1,2,2,NA,6,1,37,6,3,2,7,4,5,1,NA,39,50068,30,3,74.5,25.5
1,1,5,2,3,1,34,7,3,3,6,1,2,1,1,42.5,25303,25,2,60,40
2,1,2,2,1,1,58,8,4,0,2,2,2,1,1,40,22019,24,4,96.1,3.9
2,1,9,2,3,2,52,3,NA,0,10,9,2,1,NA,30,6668,30,4,7.5,92.5
1,1,3,2,1,1,34,18,3,1,3,2,2,1,1,38.5,35218,30,2,63.6,36.4
1,2,1,NA,8,2,37,1,2,1,4,4,7,1,NA,38.5,1,31,2,22.7,77.3
2,1,1,1,3,2,24,8,1,0,4,9,2,1,1,30,6857,21,56,19.2,80.8
1,2,8,NA,7,1,32,1,1,0,8,4,6,2,NA,38,1,20,4,46.2,53.8
2,1,6,1,1,1,45,9,NA,0,4,2,2,1,NA,40,22220,30,1,25,75
1,1,2,2,1,1,22,1,1,0,3,2,2,1,1,35,1,23,5,67.7,32.3
1,1,2,1,NA,1,19,4,1,0,3,0,1,4,1,38,6660,27,1,83.3,16.7
1,1,2,1,2,1,46,14,3,1,2,1,1,1,1,37.5,24885,30,3,54,46
2,1,2,2,3,1,42,5,3,1,6,1,1,1,1,38,24159,32,4,78.3,21.7
2,1,4,2,3,1,31,2,3,2,5,1,1,1,1,39,21106,30,2,93.2,6.8
1,1,7,1,3,2,23,1,NA,0,4,2,7,1,NA,40,1,10,3,59.6,40.4
1,1,2,2,2,2,37,10,4,1.5,2,1,1,1,1,35,26377,30,5,73.9,26.1
1,1,7,1,2,2,46,16,NA,0,11,2,2,1,NA,38.5,29893,30,2,91.8,8.2
1,1,9,1,1,1,60,17,NA,0,3,2,2,1,NA,38.5,30023,30,4,23.5,76.5
1,1,2,1,NA,1,17,2,1,0,2,0,1,4,5,40,9163,30,3,89.1,10.9
1,1,7,2,2,1,45,13,NA,0,11,1,7,1,NA,40,20247,24,2,100,0
1,1,2,2,0,1,58,35,4,0,2,8,2,3,1,17.5,25070,30,6,64.6,35.4
2,2,7,NA,NA,1,21,2,NA,0,9,0,3,4,NA,40,7611,30,56,80,20
1,2,5,NA,5,1,36,9,4,0,9,4,2,1,NA,38.5,42892,30,1,73.7,26.3
1,1,2,1,0,1,37,21,3,0,3,2,2,1,1,40,43787,30,6,78.2,21.8
2,1,5,1,3,1,59,1,4,2,2,2,2,1,1,40,1,6,1,100,0
2,1,1,1,NA,1,17,2,1,0,4,0,1,4,1,40,3119,21,2,66.7,33.3
1,1,2,2,3,1,47,2,4,0,6,1,2,1,1,40,31088,30,2,92.7,7.3
1,1,5,1,2,1,25,9,3,2,3,2,2,1,2,36.5,47656,30,6,73.1,26.9
1,1,5,2,1,1,58,24,3,0,2,2,2,1,1,36.5,36726,30,3,96.9,3.1
2,1,2,1,1,1,42,9,1,0.5,2,1,2,1,1,40,19155,30,3,50.6,49.4
1,2,2,NA,7,1,36,1,1,0,10,4,6,1,NA,37.5,1,12,2,50,50
1,1,6,1,1,1,38,8,NA,0,4,1,7,1,NA,40,31800,30,1,40,60
2,1,1,2,1,1,18,2,1,0,4,9,2,1,1,30,10515,22,2,31.8,68.2
1,1,2,1,2,1,44,4,3,0,2,1,1,1,1,40,27473,28,3,51.7,48.3
1,2,2,NA,5,1,55,25,1,0,7,4,2,1,NA,35,54335,30,3,85.3,14.7
1,1,4,2,1,1,35,11,3,2,5,2,2,1,1,42,30165,30,1,90,10
1,1,2,1,1,1,37,18,3,3,2,1,1,1,1,35,43493,30,6,81.3,18.7
1,1,2,1,2,1,35,5,3,2,2,1,2,1,2,35,37218,30,6,92,8
1,1,2,1,2,1,42,8,3,3,2,1,2,1,1,37.5,24574,30,5,97.9,2.1
1,1,2,2,1,1,40,18,3,3,5,2,2,1,1,37,28270,30,1,93.8,6.3
1,2,9,NA,5,1,45,19,NA,0,7,4,5,1,NA,40,52595,29,2,38.9,61.1
1,1,9,2,3,1,55,3,NA,0,3,2,2,1,NA,35,1,24,2,66.7,33.3
1,2,8,NA,6,1,60,30,3,0,10,4,4,1,NA,39,39946,30,6,51.3,48.7
2,1,9,2,3,2,53,6,NA,0,19,8,7,1,NA,12,1927,26,3,4.7,95.3
1,1,2,2,1,1,55,1,3,0,2,2,2,1,1,35,1,7,1,60,40
2,2,9,NA,7,2,25,4,NA,0,11,9,2,1,NA,30,13105,25,56,9.9,90.1
1,2,8,NA,7,1,55,16,3,0,10,4,2,1,NA,45,27073,30,6,80.4,19.6
1,1,2,1,1,1,54,32,3,2,2,2,2,1,3,35,31478,30,6,89.3,10.7
1,1,4,2,NA,1,19,2,1,0,3,0,1,4,1,37,3885,24,1,77.8,22.2
2,2,2,NA,6,1,43,3,3,3,9,4,7,1,NA,38.5,1,28,3,41.9,58.1
1,1,2,2,3,2,46,8,4,1,4,9,2,1,1,33,10567,25,1,10,90
1,2,2,NA,7,2,40,21,1,0,6,4,2,1,NA,35,35237,30,4,52.5,47.5
1,1,4,1,3,1,60,1,3,0,5,8,2,1,1,5,1,13,1,85.7,14.3
1,2,2,NA,6,2,51,22,1,0,8,9,7,1,NA,20,19549,30,1,25,75
1,2,9,NA,6,2,39,4,NA,0,1,9,4,1,NA,25,12424,30,2,88.6,11.4
2,1,5,1,NA,2,19,4,1,0,4,0,7,4,1,40,4380,24,2,65.5,34.5
1,1,2,2,0,1,60,12,1,0,3,8,2,3,1,16.25,10813,30,2,82.6,17.4
1,2,4,NA,5,1,52,2,3,0,3,4,2,1,NA,39,35234,28,2,92.7,7.3
2,1,1,1,1,1,22,6,1,0,4,2,2,1,1,41,15492,24,4,18,82
2,1,4,1,NA,1,19,2,1,0,5,0,2,4,1,40,3291,23,2,0,100
1,1,2,1,0,2,58,17,3,0,3,8,1,1,2,17.5,12121,15,5,59.7,40.3
1,1,7,2,2,1,31,11,NA,0,3,2,2,1,NA,38,41338,30,5,89.7,10.3
1,2,9,NA,6,2,48,21,NA,0,10,9,5,1,NA,21,40475,32,3,54.2,45.8
1,1,9,2,1,1,20,1,NA,0,7,2,2,2,NA,40,1,11,5,91.2,8.8
1,2,9,NA,7,1,48,12,NA,0,8,4,2,1,NA,38,48296,30,3,87.3,12.7
1,1,1,2,1,1,52,7,3,1,4,2,2,1,1,40,25876,24,1,33.3,66.7
1,1,9,2,2,2,47,8,NA,0,4,1,1,1,NA,38.5,18381,30,5,49.1,50.9
1,1,5,1,NA,1,19,3,1,0,3,0,1,4,1,36,7036,30,2,97,3
1,1,9,1,2,1,33,1,NA,0,4,2,4,1,NA,41,1,7,4,54.1,45.9
2,1,7,1,0,1,32,4,NA,0,8,3,7,1,NA,39.75,20653,26,2,73.7,26.3
1,2,8,NA,5,1,48,17,3,1,10,4,2,1,NA,40,61365,30,3,34.4,65.6
2,1,4,2,1,1,58,41,3,0,3,2,2,1,1,41,20875,23,3,88.1,11.9
1,1,4,2,NA,1,18,1,NA,0,5,0,1,4,NA,0,1,NA,3,88.5,11.5
1,2,8,NA,6,2,38,18,5,0,10,8,2,1,NA,16,15917,13,5,44.3,55.7
1,1,7,1,2,1,57,4,NA,0,11,1,2,1,NA,39,45102,30,4,86.5,13.5
1,1,4,2,1,1,31,1,3,1.5,5,2,2,1,1,40,1,30,1,66.7,33.3
1,1,2,1,0,1,30,6,NA,0,3,2,2,1,1,35,35917,30,6,88.7,11.3
2,1,5,2,0,1,43,12,3,0,3,3,2,1,1,40,22188,27,1,88.9,11.1
1,1,2,2,0,1,36,3,1,0,2,2,2,1,1,42.5,32751,25,4,68.2,31.8
1,1,6,2,3,1,24,5,NA,0,19,8,7,1,NA,5.75,2054,5,3,50.8,49.3
1,2,5,NA,7,1,40,12,1,0,4,9,2,1,NA,30,1,36,2,26.9,73.1
1,1,2,1,NA,1,17,1,1,0,5,0,1,4,1,39,1,10,3,91.8,8.2
1,1,4,1,1,1,38,9,3,1.5,3,2,2,1,1,37,22714,30,1,71.4,28.6
1,1,5,1,3,1,60,4,3,0,20,8,7,1,1,8,3865,30,1,61.1,38.9
1,1,2,1,2,1,43,8,3,2,11,2,2,1,1,50,36376,30,1,80,20
1,2,9,NA,9,2,57,7,NA,0,20,8,7,1,NA,11.18,3865,24,6,3.4,96.6
1,1,2,1,0,2,58,32,4,0,2,1,2,1,1,35,36578,30,3,90.6,9.4
1,2,6,NA,5,2,38,17,NA,0,14,4,7,1,NA,40,77827,25,2,51.5,48.5
2,1,2,2,3,1,21,2,1,0,5,2,2,1,1,40,4229,24,3,94.9,5.1
1,2,7,NA,7,1,32,1,NA,0,8,3,2,1,NA,38.5,1,30,3,94.4,5.6
1,2,9,NA,6,2,60,24,NA,0,14,9,7,1,NA,28,23094,25,2,5.3,94.7
1,1,4,2,1,1,46,4,3,2,2,2,1,1,5,35,33860,30,6,54.1,45.9
1,1,6,1,3,1,29,2,NA,0,4,2,2,1,NA,39,29464,28,2,29.1,70.9
1,1,2,2,1,1,24,2,1,0,3,2,2,1,1,40,27163,24,4,93,7
1,2,1,NA,7,1,42,5,4,2,14,4,5,1,NA,40,26311,30,4,76.3,23.7
1,1,2,2,2,1,36,3,3,2,3,2,2,1,1,39,1,30,1,100,0
1,1,9,2,3,1,27,9,NA,0,19,2,7,1,NA,39,20125,30,6,37.5,62.5
1,1,7,1,3,1,30,11,NA,0,3,2,2,1,NA,39,28900,30,5,63.6,36.4
1,1,2,1,0,1,49,29,4,0,2,1,1,1,1,37.5,35503,30,4,75.9,24.1
2,1,9,1,1,1,51,9,NA,0,2,2,2,1,NA,40,26638,30,3,64.8,35.2
2,2,5,NA,9,2,41,24,2,0.5,9,9,2,1,NA,30.4,13037,30,56,20,80
1,1,4,2,1,1,58,1,3,0,3,2,2,1,1,39,1,23,2,91.7,8.3
1,2,5,NA,7,1,60,10,3,0,2,4,7,1,NA,40,30678,30,1,81.8,18.2
1,1,2,1,0,1,56,34,3,0,3,2,2,1,1,40,52322,30,5,80.4,19.6
1,1,5,1,NA,1,19,4,1,0,3,0,1,4,1,40,5958,30,1,91.7,8.3
2,1,1,1,1,1,20,4,1,0,4,2,2,1,1,40,5011,24,1,11.1,88.9
1,1,2,1,0,1,51,19,3,0,3,2,2,1,1,35,49652,30,3,86.9,13.1
1,1,2,1,2,1,43,22,3,2,6,2,2,1,2,38,26509,30,6,78.3,21.7
1,1,5,1,3,2,52,11,3,0,4,9,7,1,1,20,13409,30,3,27.1,72.9
2,1,1,1,NA,1,18,2,1,0,4,0,1,4,1,40,3651,21,3,27.7,72.3
1,1,7,1,0,1,28,3,NA,0,3,2,7,1,NA,38,27307,28,3,71.7,28.3
1,2,5,NA,8,1,59,3,4,0,9,9,7,1,NA,25,11504,25,1,33.3,66.7
2,1,2,2,2,1,31,3,1,0,6,1,2,1,1,39,15281,24,3,57.2,42.8
1,1,2,1,3,2,27,1,2,0.5,3,9,2,1,1,25,1,15,2,31.4,68.6
1,1,2,2,1,1,34,15,NA,0,3,2,2,1,1,38.5,36956,30,2,76.1,23.9
1,1,2,2,2,1,32,3,1,0.5,2,1,2,1,1,36,30333,30,3,77.6,22.4
1,1,2,2,2,1,53,14,4,0,3,2,2,1,1,38,26176,30,6,46.9,53.1
1,2,9,NA,5,1,40,10,NA,0,7,4,5,1,NA,38.5,52087,30,4,71.3,28.7
1,2,9,NA,6,1,57,6,NA,0,7,4,6,2,NA,38.5,34453,31,1,36.4,63.6
1,1,9,2,3,1,28,3,NA,0,20,1,1,1,NA,35,11596,25,1,88.9,11.1
1,1,7,1,0,1,33,8,NA,0,3,2,2,1,NA,38,41605,30,3,79.1,20.9
1,2,9,NA,8,1,33,5,NA,0,10,4,2,1,NA,39,30038,28,3,30.8,69.2
2,1,7,1,1,2,37,19,NA,0,11,9,2,1,NA,30,25020,29,56,0,100
1,1,1,2,1,1,45,9,3,0,4,2,2,1,1,41,17993,27,1,53.4,46.6
1,1,4,1,2,1,48,9,3,4,11,2,2,1,5,37.5,25747,30,4,100,0
1,1,2,1,0,1,58,45,3,0,2,2,2,1,1,35,40648,30,4,85.4,14.6
1,2,2,NA,6,1,40,1,3,2,7,4,6,2,NA,38,1,25,2,80.6,19.4
1,1,9,1,0,1,58,27,NA,0,3,2,2,1,NA,37.5,38093,30,6,90.8,9.2
1,1,4,2,3,1,54,1,3,0,5,1,1,1,1,39,1,12,3,96.7,3.3
1,2,9,NA,6,2,26,1,NA,0,10,4,7,1,NA,38.5,1,11,2,46.3,53.7
1,1,6,2,3,1,18,1,NA,0,4,8,7,1,NA,0,1,NA,3,60,40
1,2,5,NA,6,2,44,21,4,0,9,4,2,1,NA,37.5,38354,30,6,0,100
1,1,2,2,0,1,59,19,3,0,3,2,2,1,1,40,40246,30,1,69.2,30.8
1,2,5,NA,8,2,40,9,5,0,6,9,7,1,NA,27,17279,30,2,68,32
1,2,2,NA,7,2,60,4,NA,0,2,8,2,1,NA,12,3483,12,4,45.1,54.9
2,1,9,1,2,1,53,9,NA,0,3,2,2,1,NA,37,33548,30,56,44.6,55.4
2,1,5,2,2,1,34,5,4,1.5,3,1,7,1,1,40,25078,25,1,100,0
1,2,7,NA,9,2,60,3,NA,0,14,8,7,1,NA,12,2721,12,1,20,80
1,1,2,1,3,1,29,1,3,0,2,8,1,1,1,17.5,1,18,3,67.6,32.4
1,1,3,1,NA,1,17,1,1,0,3,0,1,4,1,38.5,1,9,6,80.1,19.9
1,1,2,2,1,1,35,3,3,1,3,2,2,1,1,38,28478,30,3,90.3,9.7
1,1,2,1,1,1,38,13,3,1,2,2,1,1,1,40,34814,30,5,86.3,13.7
1,1,4,1,2,1,33,1,3,2,3,9,2,1,1,33,1,28,3,81.5,18.5
1,1,2,1,0,1,33,7,3,1,2,2,2,1,1,36,32575,30,4,77.4,22.6
1,2,9,NA,7,2,30,4,NA,0,13,9,2,1,NA,35,22961,28,3,75.9,24.1
1,1,2,1,1,1,34,7,1,0,2,2,2,1,1,36,28923,30,4,80.7,19.3
1,1,2,2,2,2,59,19,3,0,2,1,1,1,1,40,17163,25,4,23.2,76.8
1,2,4,NA,NA,1,19,3,1,0,3,0,1,4,NA,38.5,6800,30,2,92.5,7.5
1,1,2,2,1,1,40,1,1,0.5,3,2,7,1,1,45,14886,16,2,96.9,3.1
1,2,9,NA,7,1,39,4,NA,0,3,4,4,1,NA,40,55774,28,2,87,13
2,1,1,2,1,1,42,8,3,2,3,1,7,1,1,40,24678,30,3,58.3,41.7
1,1,2,1,0,1,60,16,3,0,2,2,2,1,3,40,38809,30,5,65.9,34.1
1,1,1,2,1,1,35,3,3,2,5,2,2,1,3,40,23660,25,1,83.4,16.6
1,1,2,1,1,1,45,4,3,1,2,2,2,1,1,35,29237,30,4,80.4,19.6
2,2,8,NA,NA,1,21,3,1,0,10,0,3,4,NA,40,8815,26,56,22.7,77.3
2,1,2,2,2,1,51,3,3,0,2,2,2,2,1,39,19425,27,56,87,13
2,1,5,2,1,1,44,12,4,1,1,2,2,1,4,42,21883,24,2,80.7,19.3
1,1,2,1,1,1,25,5,1,0,2,2,2,1,1,35,77171,30,6,89.7,10.3
1,1,2,2,1,1,49,1,3,0,3,2,2,1,1,40,1,20,1,62.5,37.5
1,1,7,2,1,1,28,2,NA,0,11,9,2,1,NA,33,28765,30,2,95.9,4.1
1,1,2,2,3,2,60,38,1,0,2,9,1,1,5,33.5,16783,31,5,56.2,43.8
1,1,5,1,NA,1,20,3,1,0,3,0,1,4,1,36.5,6712,30,4,82.9,17.1
2,2,5,NA,NA,1,17,1,1,0,9,0,1,4,NA,43,1,27,2,66.7,33.3
1,1,9,1,3,2,37,1,NA,0,19,8,7,1,NA,8.53,1,NA,3,30.7,69.3
1,2,7,NA,4,1,42,5,NA,0,7,4,5,1,NA,40,84000,30,4,71.5,28.5
1,1,5,2,2,1,24,3,1,0,3,2,7,1,1,37.5,30010,30,4,80,20
1,1,2,1,0,1,46,14,3,2,2,1,7,1,1,37.5,38881,33,4,88,12
1,1,4,2,1,1,41,11,4,1,3,2,2,1,1,39,37569,30,3,79.6,20.4
2,1,4,2,NA,1,20,4,1,0,3,0,1,4,1,40,4172,26,2,95.8,4.2
1,1,1,1,3,2,49,10,4,1,4,1,1,1,1,37,20298,30,2,32.4,67.6
1,1,2,1,3,2,46,13,1,0,3,9,2,1,1,26,1,26,2,68,32
2,2,5,NA,8,2,56,11,1,0,9,9,2,1,NA,22,13879,29,1,0,100
1,1,2,2,NA,1,17,1,1,0,2,0,1,4,1,37,1,10,3,73.2,26.8
1,2,5,NA,7,1,37,7,1,0,7,4,6,1,NA,38.5,1,30,2,57.4,42.6
1,1,5,1,NA,1,18,3,1,0,3,0,1,4,1,36.5,6251,30,1,89.5,10.5
2,2,7,NA,6,1,29,6,NA,0,8,3,2,1,NA,40,31401,23,3,57.1,42.9
2,2,2,NA,7,2,40,11,4,2,3,4,2,1,NA,35,18509,25,1,0,100
1,1,5,1,2,1,46,4,3,0,3,1,1,1,1,38,22534,30,2,74.5,25.5
1,1,2,1,1,1,47,17,3,4,2,2,2,1,3,35,40465,30,6,86.4,13.6
1,2,5,NA,5,2,59,12,3,0,9,4,6,1,NA,40,43223,30,1,45.5,54.5
1,1,9,1,2,1,21,1,NA,0,3,1,7,2,NA,37.5,1,25,1,81.3,18.7
1,2,9,NA,8,1,29,1,NA,0,14,4,2,1,NA,39,1,13,6,17,83
1,1,2,2,3,1,26,2,3,1,2,2,7,1,1,38,20916,30,2,86.9,13.1
2,1,2,2,0,1,36,4,3,0,5,2,2,1,1,40,23443,27,3,86.7,13.3
1,2,5,NA,6,1,42,10,3,0,7,4,6,1,NA,35,55481,30,2,89.2,10.8
2,1,2,2,1,1,60,11,3,0,2,2,7,1,5,40,28054,29,2,93,7
2,1,7,1,0,1,26,12,NA,0,3,2,2,1,NA,38,43147,30,56,32,68
1,2,2,NA,7,1,48,23,3,0,3,4,2,1,NA,40,48700,30,4,53.2,46.8
